qtr,score1,score2
1,7,14
2,14,17
3,21,17
4,21,24
1,0,7
2,0,14
3,0,28
4,0,31
1,7,0
2,14,17
3,17,20
4,24,36
1,0,3
2,0,10
3,0,10
4,0,17
1,7,14
2,21,14
3,28,14
4,38,21
1,0,0
2,10,3
3,17,10
4,20,25
1,3,0
2,6,0
3,6,14
4,9,14
1,0,21
2,7,27
3,7,34
4,27,47
1,3,3
2,3,16
3,10,16
4,10,26
1,3,7
2,13,21
3,20,24
4,27,24
1,0,0
2,3,0
3,3,10
4,3,13
1,7,7
2,14,7
3,14,7
4,14,17
1,3,6
2,10,6
3,10,20
4,20,27
1,3,3
2,3,9
3,10,9
4,13,12
1,7,14
2,7,24
3,14,24
4,21,24
1,7,7
2,7,21
3,14,21
4,14,21
1,0,0
2,0,16
3,0,23
4,7,30
1,0,7
2,17,10
3,24,13
4,31,13
1,0,13
2,14,16
3,14,16
4,21,16
1,0,7
2,7,7
3,10,7
4,16,14
1,14,0
2,28,7
3,35,7
4,35,14
1,0,14
2,7,14
3,14,21
4,23,21
1,0,0
2,14,7
3,21,7
4,28,7
1,0,3
2,3,18
3,3,32
4,3,32
1,3,0
2,3,3
3,3,10
4,17,13
1,0,3
2,10,20
3,13,23
4,13,26
1,0,7
2,7,10
3,9,10
4,9,20
1,3,7
2,9,14
3,9,21
4,23,24
1,0,3
2,0,10
3,3,10
4,3,20
1,0,3
2,3,6
3,6,12
4,15,19
1,0,0
2,0,14
3,10,17
4,10,24
1,0,0
2,7,3
3,7,3
4,17,3
1,0,3
2,6,13
3,9,16
4,16,19
1,0,17
2,7,31
3,7,34
4,7,41
1,0,0
2,0,7
3,7,14
4,7,28
1,3,7
2,10,14
3,17,14
4,24,14
1,3,0
2,3,5
3,10,19
4,13,19
1,3,7
2,17,14
3,20,14
4,27,21
1,3,0
2,3,3
3,3,6
4,3,20
1,7,14
2,14,28
3,24,28
4,31,31
5,31,34
1,3,0
2,6,6
3,13,9
4,20,23
1,7,7
2,20,7
3,23,7
4,30,7
1,0,7
2,3,17
3,10,17
4,17,31
1,7,0
2,14,3
3,21,9
4,28,29
1,0,7
2,10,14
3,10,21
4,24,21
1,7,3
2,10,17
3,17,20
4,24,23
1,7,0
2,21,3
3,21,6
4,28,6
1,7,0
2,10,3
3,13,6
4,20,20
5,23,20
1,7,3
2,24,6
3,34,6
4,37,13
1,7,10
2,10,17
3,10,17
4,10,24
1,0,7
2,0,24
3,0,34
4,0,34
1,7,0
2,14,7
3,14,7
4,17,7
1,0,0
2,7,10
3,17,10
4,38,10
1,0,3
2,6,10
3,9,17
4,16,31
1,3,0
2,13,0
3,13,13
4,16,20
1,3,6
2,10,20
3,17,20
4,34,27
1,10,0
2,16,10
3,19,10
4,19,23
1,7,7
